http://www.sfu.ca/~aheard/elections/polls-2006.html,,,,,,
Poll,Sample,CPC,NDP,LIB,BQ,G
Results,NaN,36.3,17.5,30.2,10.5,4.5
SES,1200,36,17,30,11,6
Strategic,2500,37,19,27,11,6
Ipsos,9648,38,19,27,12,4
Ekos,2313,37,20,27,12,5
Leger,2001,38,17,29,11,4
Decima,1017,37,18,27,11,6
