http://www.cbc.ca/news2/interactives/poll-tracker/2015/index.html#regions,,,
CPC,NDP,LIB,Province
16,12,13,BC
29,1,4,AB
19,2,7,SK & MB
40,14,67,ON
11,34,26,QC
3,3,26,ATL
0,0,3,TERR
