http://www.sfu.ca/~aheard/elections/polls-2008.html,,,,,,
Poll,Sample,CPC,NDP,LIB,BQ,G
Results,NaN,37.6,18.2,26.2,10,6.8
Ekos,2358,35,19,26,10,10
Nanos,1269,34,21,27,10,8
Decima,1256,34,19,25,11,9
Strategic,1000,33,18,28,9,11
Nanos,1200,32,22,28,10,8
Ispos,2000,34,18,29,9,8
Leger,1500,36,20,27,8,9
